id,disability_type,experience_years,education_level,accommodations,work_preference
801,mobility,2,bachelor,['flexible schedule'],in-office
802,cognitive,3,bachelor,"['flexible schedule', 'assistive technology', 'noise reduction', 'physical workspace modifications']",in-office
803,vision,19,high school,"['remote work', 'flexible schedule']",hybrid
804,cognitive,13,bachelor,"['physical workspace modifications', 'modified training materials']",fully remote
805,cognitive,19,associate,"['noise reduction', 'assistive technology', 'modified training materials']",hybrid
806,hearing,8,phd,['interpreter services'],fully remote
807,hearing,0,high school,"['interpreter services', 'modified training materials', 'noise reduction']",hybrid
808,hearing,5,high school,"['interpreter services', 'noise reduction', 'modified training materials', 'assistive technology']",fully remote
809,vision,20,bachelor,"['remote work', 'physical workspace modifications']",in-office
810,cognitive,16,master,"['modified training materials', 'physical workspace modifications', 'noise reduction']",fully remote
811,chronic health,1,high school,"['remote work', 'flexible schedule', 'noise reduction']",hybrid
812,vision,0,master,['physical workspace modifications'],hybrid
813,mobility,9,bachelor,['remote work'],hybrid
814,chronic health,14,master,"['remote work', 'physical workspace modifications', 'flexible schedule']",hybrid
815,cognitive,19,bachelor,"['modified training materials', 'noise reduction']",hybrid
816,mobility,0,bachelor,"['flexible schedule', 'physical workspace modifications']",in-office
817,mobility,15,high school,['physical workspace modifications'],hybrid
818,hearing,1,bachelor,"['noise reduction', 'assistive technology', 'interpreter services', 'physical workspace modifications']",fully remote
819,mobility,9,high school,"['physical workspace modifications', 'flexible schedule']",in-office
820,mobility,16,bachelor,"['remote work', 'physical workspace modifications']",fully remote
821,vision,14,phd,"['remote work', 'physical workspace modifications']",in-office
822,hearing,7,master,"['noise reduction', 'interpreter services', 'physical workspace modifications']",hybrid
823,cognitive,10,bachelor,"['assistive technology', 'modified training materials', 'physical workspace modifications']",in-office
824,mobility,6,high school,"['flexible schedule', 'physical workspace modifications']",hybrid
825,vision,4,master,['remote work'],hybrid
826,mobility,12,high school,"['flexible schedule', 'physical workspace modifications']",in-office
827,psychiatric,5,associate,"['noise reduction', 'flexible schedule']",fully remote
828,cognitive,12,master,"['physical workspace modifications', 'modified training materials', 'assistive technology', 'flexible schedule', 'noise reduction']",fully remote
829,cognitive,5,bachelor,"['flexible schedule', 'assistive technology', 'modified training materials', 'physical workspace modifications', 'noise reduction']",hybrid
830,vision,3,bachelor,"['physical workspace modifications', 'flexible schedule']",in-office
831,cognitive,11,bachelor,"['noise reduction', 'flexible schedule', 'assistive technology', 'physical workspace modifications']",in-office
832,mobility,16,associate,['physical workspace modifications'],fully remote
833,mobility,6,associate,"['flexible schedule', 'remote work']",in-office
834,hearing,8,high school,"['interpreter services', 'modified training materials', 'assistive technology']",fully remote
835,mobility,20,high school,['physical workspace modifications'],in-office
836,psychiatric,9,bachelor,['noise reduction'],fully remote
837,psychiatric,9,phd,"['flexible schedule', 'noise reduction']",in-office
838,cognitive,11,associate,"['flexible schedule', 'assistive technology']",in-office
839,hearing,9,associate,"['physical workspace modifications', 'modified training materials', 'assistive technology', 'noise reduction']",in-office
840,chronic health,17,master,"['remote work', 'physical workspace modifications', 'noise reduction']",hybrid
841,chronic health,13,associate,['flexible schedule'],fully remote
842,vision,18,high school,"['flexible schedule', 'remote work']",in-office
843,mobility,7,master,['remote work'],hybrid
844,vision,17,bachelor,"['physical workspace modifications', 'remote work']",in-office
845,vision,19,phd,"['remote work', 'flexible schedule']",fully remote
846,mobility,8,phd,['remote work'],fully remote
847,mobility,2,high school,"['flexible schedule', 'remote work']",in-office
848,cognitive,17,master,"['assistive technology', 'flexible schedule', 'modified training materials', 'physical workspace modifications', 'noise reduction']",hybrid
849,mobility,18,associate,"['remote work', 'flexible schedule']",in-office
850,mobility,14,associate,['physical workspace modifications'],fully remote
851,cognitive,14,phd,"['physical workspace modifications', 'noise reduction', 'modified training materials', 'flexible schedule', 'assistive technology']",in-office
852,mobility,20,high school,['flexible schedule'],fully remote
853,hearing,19,bachelor,"['interpreter services', 'noise reduction', 'physical workspace modifications', 'assistive technology']",hybrid
854,hearing,16,high school,"['physical workspace modifications', 'noise reduction', 'modified training materials']",in-office
855,mobility,6,high school,['flexible schedule'],in-office
856,mobility,5,high school,"['flexible schedule', 'remote work']",hybrid
857,psychiatric,11,bachelor,"['flexible schedule', 'noise reduction']",hybrid
858,mobility,17,master,"['physical workspace modifications', 'remote work']",in-office
859,cognitive,6,master,"['physical workspace modifications', 'modified training materials']",fully remote
860,hearing,0,associate,"['modified training materials', 'physical workspace modifications', 'noise reduction']",fully remote
861,mobility,16,bachelor,"['remote work', 'flexible schedule']",hybrid
862,mobility,6,associate,['remote work'],hybrid
863,cognitive,7,associate,"['flexible schedule', 'assistive technology', 'noise reduction', 'modified training materials']",fully remote
864,hearing,14,phd,"['noise reduction', 'interpreter services', 'assistive technology']",in-office
865,hearing,11,phd,"['modified training materials', 'assistive technology', 'interpreter services']",fully remote
866,psychiatric,18,high school,['physical workspace modifications'],fully remote
867,vision,1,high school,['flexible schedule'],hybrid
868,cognitive,11,associate,"['assistive technology', 'modified training materials', 'flexible schedule']",in-office
869,psychiatric,12,bachelor,['noise reduction'],hybrid
870,chronic health,17,master,"['physical workspace modifications', 'flexible schedule', 'noise reduction']",fully remote
871,mobility,18,master,['physical workspace modifications'],fully remote
872,psychiatric,19,bachelor,['physical workspace modifications'],fully remote
873,psychiatric,1,phd,"['noise reduction', 'physical workspace modifications']",fully remote
874,chronic health,18,high school,"['remote work', 'physical workspace modifications']",fully remote
875,psychiatric,5,associate,"['noise reduction', 'flexible schedule']",in-office
876,vision,16,master,['flexible schedule'],fully remote
877,cognitive,11,bachelor,"['physical workspace modifications', 'assistive technology', 'flexible schedule']",fully remote
878,cognitive,19,high school,"['flexible schedule', 'physical workspace modifications', 'modified training materials', 'assistive technology']",fully remote
879,hearing,7,phd,"['physical workspace modifications', 'interpreter services', 'modified training materials']",hybrid
880,hearing,16,bachelor,['noise reduction'],fully remote
881,mobility,19,phd,['flexible schedule'],fully remote
882,cognitive,0,master,"['flexible schedule', 'noise reduction']",in-office
883,mobility,8,associate,"['physical workspace modifications', 'flexible schedule']",hybrid
884,psychiatric,15,phd,"['flexible schedule', 'physical workspace modifications']",fully remote
885,cognitive,20,bachelor,"['flexible schedule', 'physical workspace modifications', 'modified training materials', 'assistive technology']",hybrid
886,cognitive,14,bachelor,"['modified training materials', 'noise reduction', 'assistive technology', 'physical workspace modifications']",hybrid
887,hearing,19,phd,"['noise reduction', 'interpreter services']",fully remote
888,mobility,20,master,"['remote work', 'physical workspace modifications']",hybrid
889,mobility,6,phd,"['remote work', 'physical workspace modifications']",fully remote
890,vision,1,high school,['remote work'],fully remote
891,mobility,2,associate,"['physical workspace modifications', 'flexible schedule']",fully remote
892,cognitive,17,associate,"['noise reduction', 'assistive technology']",in-office
893,cognitive,3,bachelor,"['flexible schedule', 'physical workspace modifications', 'noise reduction', 'modified training materials']",fully remote
894,cognitive,6,high school,"['noise reduction', 'flexible schedule']",hybrid
895,hearing,7,master,"['physical workspace modifications', 'interpreter services']",hybrid
896,psychiatric,18,phd,['noise reduction'],fully remote
897,mobility,9,bachelor,"['flexible schedule', 'physical workspace modifications']",hybrid
898,cognitive,19,high school,"['flexible schedule', 'assistive technology']",in-office
899,cognitive,13,high school,"['flexible schedule', 'assistive technology', 'noise reduction', 'modified training materials', 'physical workspace modifications']",hybrid
900,hearing,8,phd,"['interpreter services', 'physical workspace modifications', 'modified training materials', 'noise reduction']",hybrid
901,mobility,10,phd,"['flexible schedule', 'remote work']",in-office
902,mobility,13,phd,"['flexible schedule', 'remote work']",in-office
903,cognitive,5,master,"['flexible schedule', 'physical workspace modifications', 'modified training materials', 'noise reduction', 'assistive technology']",fully remote
904,cognitive,1,master,"['noise reduction', 'modified training materials', 'flexible schedule', 'assistive technology', 'physical workspace modifications']",hybrid
905,psychiatric,11,high school,"['physical workspace modifications', 'noise reduction']",hybrid
906,cognitive,15,associate,"['assistive technology', 'physical workspace modifications', 'flexible schedule']",hybrid
907,hearing,2,phd,['noise reduction'],fully remote
908,psychiatric,12,high school,['physical workspace modifications'],fully remote
909,psychiatric,9,phd,['flexible schedule'],hybrid
910,chronic health,6,master,"['remote work', 'physical workspace modifications', 'noise reduction']",hybrid
911,hearing,5,bachelor,"['assistive technology', 'noise reduction', 'interpreter services', 'physical workspace modifications']",hybrid
912,mobility,16,bachelor,['remote work'],fully remote
913,cognitive,8,associate,"['modified training materials', 'noise reduction', 'flexible schedule', 'assistive technology', 'physical workspace modifications']",fully remote
914,cognitive,12,high school,"['noise reduction', 'flexible schedule', 'assistive technology']",hybrid
915,vision,4,high school,['physical workspace modifications'],in-office
916,hearing,3,bachelor,"['physical workspace modifications', 'assistive technology', 'modified training materials']",hybrid
917,hearing,19,associate,"['interpreter services', 'noise reduction', 'modified training materials', 'assistive technology']",in-office
918,hearing,1,bachelor,['physical workspace modifications'],in-office
919,vision,13,associate,['physical workspace modifications'],in-office
920,chronic health,14,associate,['remote work'],hybrid
921,hearing,14,master,"['assistive technology', 'noise reduction', 'physical workspace modifications']",hybrid
922,cognitive,18,master,"['noise reduction', 'physical workspace modifications']",hybrid
923,cognitive,13,phd,"['physical workspace modifications', 'noise reduction', 'flexible schedule', 'modified training materials']",in-office
924,hearing,7,associate,"['assistive technology', 'interpreter services', 'modified training materials']",hybrid
925,hearing,14,master,"['modified training materials', 'assistive technology', 'physical workspace modifications']",hybrid
926,cognitive,6,associate,"['noise reduction', 'assistive technology', 'physical workspace modifications']",fully remote
927,mobility,7,bachelor,['physical workspace modifications'],hybrid
928,mobility,20,associate,"['physical workspace modifications', 'remote work']",fully remote
929,vision,18,phd,"['remote work', 'flexible schedule']",hybrid
930,hearing,5,phd,"['modified training materials', 'assistive technology']",hybrid
931,psychiatric,5,phd,"['physical workspace modifications', 'flexible schedule']",hybrid
932,hearing,7,associate,['assistive technology'],hybrid
933,chronic health,7,bachelor,['flexible schedule'],hybrid
934,cognitive,20,bachelor,"['modified training materials', 'assistive technology']",fully remote
935,psychiatric,10,master,"['noise reduction', 'flexible schedule']",hybrid
936,psychiatric,8,associate,"['flexible schedule', 'physical workspace modifications']",in-office
937,mobility,1,phd,"['flexible schedule', 'physical workspace modifications']",in-office
938,cognitive,17,associate,"['physical workspace modifications', 'noise reduction', 'flexible schedule']",hybrid
939,mobility,8,phd,['physical workspace modifications'],hybrid
940,mobility,10,phd,"['remote work', 'flexible schedule']",in-office
941,chronic health,20,high school,"['noise reduction', 'remote work', 'physical workspace modifications']",hybrid
942,mobility,5,bachelor,"['flexible schedule', 'physical workspace modifications']",hybrid
943,cognitive,4,associate,"['physical workspace modifications', 'assistive technology', 'modified training materials']",fully remote
944,mobility,15,associate,"['physical workspace modifications', 'flexible schedule']",hybrid
945,cognitive,6,bachelor,"['modified training materials', 'assistive technology', 'physical workspace modifications', 'noise reduction']",hybrid
946,cognitive,2,associate,"['modified training materials', 'flexible schedule', 'physical workspace modifications']",hybrid
947,mobility,1,high school,"['remote work', 'flexible schedule']",hybrid
948,cognitive,13,bachelor,"['noise reduction', 'assistive technology', 'physical workspace modifications', 'flexible schedule']",in-office
949,cognitive,3,master,"['flexible schedule', 'assistive technology', 'modified training materials', 'noise reduction', 'physical workspace modifications']",hybrid
950,cognitive,7,master,"['noise reduction', 'physical workspace modifications']",in-office
951,cognitive,0,bachelor,"['assistive technology', 'flexible schedule', 'physical workspace modifications', 'noise reduction']",fully remote
952,psychiatric,6,bachelor,"['physical workspace modifications', 'noise reduction']",in-office
953,psychiatric,16,master,['physical workspace modifications'],in-office
954,mobility,6,bachelor,"['remote work', 'physical workspace modifications']",in-office
955,hearing,4,master,"['assistive technology', 'interpreter services']",fully remote
956,chronic health,20,bachelor,['remote work'],hybrid
957,cognitive,0,phd,"['physical workspace modifications', 'noise reduction', 'assistive technology', 'modified training materials']",hybrid
958,hearing,20,phd,"['noise reduction', 'interpreter services']",hybrid
959,hearing,8,associate,"['modified training materials', 'interpreter services', 'physical workspace modifications']",fully remote
960,hearing,5,bachelor,"['physical workspace modifications', 'interpreter services', 'modified training materials', 'noise reduction']",fully remote
961,cognitive,13,bachelor,"['physical workspace modifications', 'modified training materials']",hybrid
962,vision,20,master,['remote work'],fully remote
963,mobility,14,bachelor,"['flexible schedule', 'remote work']",fully remote
964,mobility,16,high school,['remote work'],in-office
965,cognitive,9,associate,"['flexible schedule', 'modified training materials', 'noise reduction', 'physical workspace modifications']",hybrid
966,hearing,6,bachelor,"['assistive technology', 'interpreter services']",hybrid
967,cognitive,5,associate,"['physical workspace modifications', 'flexible schedule', 'noise reduction', 'modified training materials', 'assistive technology']",fully remote
968,hearing,11,phd,"['interpreter services', 'modified training materials', 'noise reduction']",fully remote
969,cognitive,9,bachelor,"['assistive technology', 'flexible schedule', 'physical workspace modifications', 'noise reduction']",hybrid
970,mobility,16,phd,"['flexible schedule', 'physical workspace modifications']",hybrid
971,vision,17,high school,"['remote work', 'flexible schedule']",hybrid
972,mobility,8,bachelor,"['physical workspace modifications', 'flexible schedule']",hybrid
973,vision,20,phd,['flexible schedule'],fully remote
974,chronic health,13,master,"['flexible schedule', 'remote work']",hybrid
975,mobility,8,associate,"['flexible schedule', 'physical workspace modifications']",fully remote
976,chronic health,5,bachelor,['flexible schedule'],hybrid
977,chronic health,3,high school,"['noise reduction', 'flexible schedule', 'physical workspace modifications']",hybrid
978,cognitive,6,associate,"['physical workspace modifications', 'modified training materials', 'assistive technology', 'noise reduction', 'flexible schedule']",hybrid
979,chronic health,1,bachelor,"['noise reduction', 'flexible schedule']",hybrid
980,hearing,20,master,"['assistive technology', 'interpreter services', 'physical workspace modifications', 'noise reduction']",fully remote
981,hearing,15,high school,"['noise reduction', 'physical workspace modifications', 'assistive technology']",hybrid
982,mobility,14,master,"['physical workspace modifications', 'flexible schedule']",in-office
983,mobility,12,phd,['remote work'],in-office
984,vision,1,associate,['flexible schedule'],hybrid
985,cognitive,20,master,"['assistive technology', 'modified training materials', 'flexible schedule']",in-office
986,vision,12,high school,"['physical workspace modifications', 'flexible schedule']",hybrid
987,vision,13,bachelor,"['remote work', 'flexible schedule']",hybrid
988,psychiatric,3,high school,['noise reduction'],hybrid
989,psychiatric,15,high school,['noise reduction'],fully remote
990,vision,16,associate,"['remote work', 'flexible schedule']",hybrid
991,vision,6,phd,"['flexible schedule', 'physical workspace modifications']",in-office
992,vision,3,bachelor,"['flexible schedule', 'physical workspace modifications']",hybrid
993,vision,3,high school,"['physical workspace modifications', 'remote work']",in-office
994,chronic health,8,phd,['physical workspace modifications'],in-office
995,mobility,14,phd,"['flexible schedule', 'physical workspace modifications']",hybrid
996,hearing,18,phd,['physical workspace modifications'],fully remote
997,mobility,7,phd,"['remote work', 'flexible schedule']",hybrid
998,cognitive,10,associate,"['modified training materials', 'noise reduction', 'physical workspace modifications', 'assistive technology']",in-office
999,mobility,9,master,"['flexible schedule', 'remote work']",hybrid
